-DOCSTART-	-X-	-X-	O

SP	NODATA	NODATA	B-その他の組織名
##R	NODATA	NODATA	I-その他の組織名
##i	NODATA	NODATA	I-その他の組織名
##N	NODATA	NODATA	I-その他の組織名
##GS	NODATA	NODATA	I-その他の組織名
と	NODATA	NODATA	O
最も	NODATA	NODATA	O
仲	NODATA	NODATA	O
の	NODATA	NODATA	O
良い	NODATA	NODATA	O
ライバル	NODATA	NODATA	O
グループ	NODATA	NODATA	O
。	NODATA	NODATA	O


レッド	NODATA	NODATA	B-法人名
フォックス	NODATA	NODATA	I-法人名
株式会社	NODATA	NODATA	I-法人名
は	NODATA	NODATA	O
、	NODATA	NODATA	O
東京	NODATA	NODATA	B-地名
都	NODATA	NODATA	I-地名
千代田	NODATA	NODATA	I-地名
区	NODATA	NODATA	I-地名
に	NODATA	NODATA	O
本社	NODATA	NODATA	O
を	NODATA	NODATA	O
置く	NODATA	NODATA	O
IT	NODATA	NODATA	O
サービス	NODATA	NODATA	O
企業	NODATA	NODATA	O
で	NODATA	NODATA	O
ある	NODATA	NODATA	O
。	NODATA	NODATA	O


松	NODATA	NODATA	B-人名
##友	NODATA	NODATA	I-人名
美	NODATA	NODATA	I-人名
佐	NODATA	NODATA	I-人名
##紀	NODATA	NODATA	I-人名
は	NODATA	NODATA	O
、	NODATA	NODATA	O
日本	NODATA	NODATA	B-地名
の	NODATA	NODATA	O
バドミントン	NODATA	NODATA	O
選手	NODATA	NODATA	O
。	NODATA	NODATA	O


ライター	NODATA	NODATA	O
の	NODATA	NODATA	O
兵庫	NODATA	NODATA	B-人名
慎	NODATA	NODATA	I-人名
司	NODATA	NODATA	I-人名
は	NODATA	NODATA	O
普通	NODATA	NODATA	O
に	NODATA	NODATA	O
アイドル	NODATA	NODATA	O
ポップス	NODATA	NODATA	O
として	NODATA	NODATA	O
出す	NODATA	NODATA	O
と	NODATA	NODATA	O
売れ	NODATA	NODATA	O
ず	NODATA	NODATA	O
、	NODATA	NODATA	O
無理	NODATA	NODATA	O
に	NODATA	NODATA	O
バンド	NODATA	NODATA	O
と	NODATA	NODATA	O
コラボレーション	NODATA	NODATA	O
さ	NODATA	NODATA	O
せる	NODATA	NODATA	O
の	NODATA	NODATA	O
も	NODATA	NODATA	O
先	NODATA	NODATA	O
##例	NODATA	NODATA	O
から	NODATA	NODATA	O
し	NODATA	NODATA	O
て	NODATA	NODATA	O
上手く	NODATA	NODATA	O
いか	NODATA	NODATA	O
ない	NODATA	NODATA	O
、	NODATA	NODATA	O
それ	NODATA	NODATA	O
##なら	NODATA	NODATA	O
ロック	NODATA	NODATA	O
##ミュージ	NODATA	NODATA	O
##シャン	NODATA	NODATA	O
と	NODATA	NODATA	O
制作	NODATA	NODATA	O
すれ	NODATA	NODATA	O
ば	NODATA	NODATA	O
いい	NODATA	NODATA	O
という	NODATA	NODATA	O
こと	NODATA	NODATA	O
に	NODATA	NODATA	O
